"","date","CPI_yoy"
"1",2020-01-01,2.6
"2",2020-02-01,2.3
"3",2020-03-01,1.5
"4",2020-04-01,0.3
"5",2020-05-01,0.2
"6",2020-06-01,0.7
"7",2020-07-01,1
"8",2020-08-01,1.3
"9",2020-09-01,1.4
"10",2020-10-01,1.2
"11",2020-11-01,1.2
"12",2020-12-01,1.3
"13",2021-01-01,1.4
"14",2021-02-01,1.7
"15",2021-03-01,2.6
"16",2021-04-01,4.1
"17",2021-05-01,4.9
"18",2021-06-01,5.3
"19",2021-07-01,5.3
"20",2021-08-01,5.2
"21",2021-09-01,5.4
"22",2021-10-01,6.2
"23",2021-11-01,6.9
"24",2021-12-01,7.2
"25",2022-01-01,7.6
"26",2022-02-01,7.9
"27",2022-03-01,8.5
"28",2022-04-01,8.2
"29",2022-05-01,8.5
"30",2022-06-01,9
"31",2022-07-01,8.4
"32",2022-08-01,8.2
"33",2022-09-01,8.2
"34",2022-10-01,7.8
"35",2022-11-01,7.1
"36",2022-12-01,6.4
"37",2023-01-01,6.3
"38",2023-02-01,6
"39",2023-03-01,4.9
"40",2023-04-01,4.9
"41",2023-05-01,4.1
"42",2023-06-01,3.1
"43",2023-07-01,3.3
"44",2023-08-01,3.7
"45",2023-09-01,3.7
"46",2023-10-01,3.2
"47",2023-11-01,3.1
"48",2023-12-01,3.3
"49",2024-01-01,3.1
"50",2024-02-01,3.2
"51",2024-03-01,3.5
"52",2024-04-01,3.4
"53",2024-05-01,3.2
"54",2024-06-01,3
"55",2024-07-01,2.9
"56",2024-08-01,2.6
"57",2024-09-01,2.4
"58",2024-10-01,2.6
"59",2024-11-01,2.7
"60",2024-12-01,2.9
"61",2025-01-01,3
"62",2025-02-01,2.8
"63",2025-03-01,2.4
"64",2025-04-01,2.3
"65",2025-05-01,2.4
"66",2025-06-01,2.7
"67",2025-07-01,2.7
