date,series,value
2019-12-31,BCOM.TR,172.0042
2019-12-31,GSCI.TR,2591.861
2019-12-31,XAUUSD.Curncy,1517.27
2019-12-31,COM.US.Equity,18.023
2020-01-01,BCOM.TR,172.0042
2020-01-01,GSCI.TR,2591.861
2020-01-01,XAUUSD.Curncy,1517.29
2020-01-01,COM.US.Equity,18.023
2020-01-02,BCOM.TR,172.2605
2020-01-02,GSCI.TR,2595.65
2020-01-02,XAUUSD.Curncy,1529.13
2020-01-02,COM.US.Equity,18.0354
2020-01-03,BCOM.TR,173.045
2020-01-03,GSCI.TR,2634.546
2020-01-03,XAUUSD.Curncy,1552.2
2020-01-03,COM.US.Equity,18.0743
2020-01-06,BCOM.TR,173.6555
2020-01-06,GSCI.TR,2642.496
2020-01-06,XAUUSD.Curncy,1565.74
2020-01-06,COM.US.Equity,18.1853
2020-01-07,BCOM.TR,173.5155
2020-01-07,GSCI.TR,2629.072
2020-01-07,XAUUSD.Curncy,1574.37
2020-01-07,COM.US.Equity,18.1731
2020-01-08,BCOM.TR,171.4093
2020-01-08,GSCI.TR,2561.66
2020-01-08,XAUUSD.Curncy,1556.42
2020-01-08,COM.US.Equity,17.9979
2020-01-09,BCOM.TR,171.1495
2020-01-09,GSCI.TR,2558.896
2020-01-09,XAUUSD.Curncy,1552.32
2020-01-09,COM.US.Equity,17.9802
2020-01-10,BCOM.TR,171.6898
2020-01-10,GSCI.TR,2555.867
2020-01-10,XAUUSD.Curncy,1562.34
2020-01-10,COM.US.Equity,18.0772
2020-01-13,BCOM.TR,170.8311
2020-01-13,GSCI.TR,2532.651
2020-01-13,XAUUSD.Curncy,1547.88
2020-01-13,COM.US.Equity,18.0437
2020-01-14,BCOM.TR,170.9599
2020-01-14,GSCI.TR,2540.777
2020-01-14,XAUUSD.Curncy,1546.39
2020-01-14,COM.US.Equity,18.1008
2020-01-15,BCOM.TR,170.2906
2020-01-15,GSCI.TR,2527.426
2020-01-15,XAUUSD.Curncy,1556.25
2020-01-15,COM.US.Equity,18.061
2020-01-16,BCOM.TR,169.4065
2020-01-16,GSCI.TR,2529.86
2020-01-16,XAUUSD.Curncy,1552.51
2020-01-16,COM.US.Equity,18.0096
2020-01-17,BCOM.TR,169.851
2020-01-17,GSCI.TR,2536.32
2020-01-17,XAUUSD.Curncy,1557.24
2020-01-17,COM.US.Equity,18.0725
2020-01-20,BCOM.TR,169.851
2020-01-20,GSCI.TR,2536.32
2020-01-20,XAUUSD.Curncy,1560.77
2020-01-20,COM.US.Equity,18.0725
2020-01-21,BCOM.TR,168.5838
2020-01-21,GSCI.TR,2526.242
2020-01-21,XAUUSD.Curncy,1558.17
