"","date","series","value"
"1",2020-05-29,"BCOM.TR",135.5447
"2",2020-05-29,"GSCI.TR",1570.824
"3",2020-05-29,"XAUUSD.Curncy",1730.27
"4",2020-05-29,"S.P500.TR",6227.81
"5",2020-05-29,"ABCTRI",4054.154427
"6",2020-05-29,"CL1.Comdty",35.49
"7",2020-06-01,"BCOM.TR",135.4956
"8",2020-06-01,"GSCI.TR",1572.22
"9",2020-06-01,"XAUUSD.Curncy",1739.55
"10",2020-06-01,"S.P500.TR",6251.48
"11",2020-06-01,"ABCTRI",4053.992579
"12",2020-06-01,"CL1.Comdty",35.44
"13",2020-06-02,"BCOM.TR",136.0742
"14",2020-06-02,"GSCI.TR",1599.458
"15",2020-06-02,"XAUUSD.Curncy",1727.7
"16",2020-06-02,"S.P500.TR",6303
"17",2020-06-02,"ABCTRI",4051.437342
"18",2020-06-02,"CL1.Comdty",36.81
"19",2020-06-03,"BCOM.TR",136.3276
"20",2020-06-03,"GSCI.TR",1605.801
"21",2020-06-03,"XAUUSD.Curncy",1699.67
"22",2020-06-03,"S.P500.TR",6389.67
"23",2020-06-03,"ABCTRI",4046.809938
"24",2020-06-03,"CL1.Comdty",37.29
"25",2020-06-04,"BCOM.TR",137.2916
"26",2020-06-04,"GSCI.TR",1616.529
"27",2020-06-04,"XAUUSD.Curncy",1714.01
"28",2020-06-04,"S.P500.TR",6369.54
"29",2020-06-04,"ABCTRI",4050.503095
"30",2020-06-04,"CL1.Comdty",37.41
"31",2020-06-05,"BCOM.TR",138.0206
"32",2020-06-05,"GSCI.TR",1662.644
"33",2020-06-05,"XAUUSD.Curncy",1685.06
"34",2020-06-05,"S.P500.TR",6536.58
"35",2020-06-05,"ABCTRI",4043.434102
"36",2020-06-05,"CL1.Comdty",39.55
"37",2020-06-08,"BCOM.TR",137.9102
"38",2020-06-08,"GSCI.TR",1639.79
"39",2020-06-08,"XAUUSD.Curncy",1698.53
"40",2020-06-08,"S.P500.TR",6615.4
"41",2020-06-08,"ABCTRI",4047.172628
"42",2020-06-08,"CL1.Comdty",38.19
"43",2020-06-09,"BCOM.TR",138.0927
"44",2020-06-09,"GSCI.TR",1650.869
"45",2020-06-09,"XAUUSD.Curncy",1715.33
"46",2020-06-09,"S.P500.TR",6564.27
"47",2020-06-09,"ABCTRI",4049.934137
"48",2020-06-09,"CL1.Comdty",38.94
"49",2020-06-10,"BCOM.TR",138.6834
"50",2020-06-10,"GSCI.TR",1663.522
"51",2020-06-10,"XAUUSD.Curncy",1738.7
"52",2020-06-10,"S.P500.TR",6529.42
"53",2020-06-10,"ABCTRI",4049.804349
"54",2020-06-10,"CL1.Comdty",39.6
"55",2020-06-11,"BCOM.TR",136.7408
"56",2020-06-11,"GSCI.TR",1596.435
